64	0.000412366
128	0.000210316
256	0.000333798
512	0.000614637
1024	0.001112554
2048	0.002233233
4096	0.004273312
8192	0.007814658
16384	0.021480208
32768	0.077568050
64	0.000119976
128	0.000144833
256	0.000266391
512	0.000487207
1024	0.001528446
2048	0.003343864
4096	0.002730349
8192	0.007234506
16384	0.020416556
32768	0.079035933
64	0.000113704
128	0.000146696
256	0.000256603
512	0.000485764
1024	0.000927956
2048	0.001813373
4096	0.002709209
8192	0.007111644
16384	0.020844902
32768	0.075151572
64	0.000116419
128	0.000147668
256	0.000265169
512	0.000479022
1024	0.000808702
2048	0.002038947
4096	0.002681296
8192	0.007117465
16384	0.034459276
32768	0.080153015
64	0.000106881
128	0.000145404
256	0.000262354
512	0.000475255
1024	0.000909532
2048	0.001822129
4096	0.002726772
8192	0.007336248
16384	0.020544948
32768	0.091554374
64	0.000107553
128	0.000143610
256	0.000257655
512	0.000468962
1024	0.000902919
2048	0.001810087
4096	0.002694161
8192	0.007202165
16384	0.020404714
32768	0.078806812
64	0.000103946
128	0.000145514
256	0.000258106
512	0.000468853
1024	0.000917477
2048	0.001313302
4096	0.002712134
8192	0.007084223
16384	0.021593902
32768	0.076333386
64	0.000104617
128	0.000142278
256	0.000260480
512	0.000477509
1024	0.000912448
2048	0.001610261
4096	0.002663573
8192	0.007270544
16384	0.021652232
32768	0.088407691
64	0.000104006
128	0.000142498
256	0.000252786
512	0.000498158
1024	0.001074753
2048	0.001303413
4096	0.002676437
8192	0.007224457
16384	0.020628304
32768	0.076054422
64	0.000107091
128	0.000148099
256	0.000286259
512	0.000472019
1024	0.000918418
2048	0.001895227
4096	0.002717013
8192	0.007113929
16384	0.020927788
32768	0.074928312
