64	0.000234229
128	0.000162245
256	0.000228258
512	0.000422062
1024	0.000773752
2048	0.001568474
4096	0.003518232
8192	0.013748781
16384	0.030541203
64	0.000071184
128	0.000099557
256	0.000195186
512	0.000366908
1024	0.000690105
2048	0.001505245
4096	0.003398568
8192	0.012684643
16384	0.030125332
64	0.000070382
128	0.000092924
256	0.000197852
512	0.000337604
1024	0.000657293
2048	0.001331268
4096	0.003276288
8192	0.009009197
16384	0.038584837
64	0.000278172
128	0.000155191
256	0.000280115
512	0.000352862
1024	0.000697579
2048	0.001374510
4096	0.003260268
8192	0.009637695
16384	0.031643320
64	0.000109907
128	0.000173325
256	0.000314641
512	0.000760337
1024	0.000650411
2048	0.001324044
4096	0.003185858
8192	0.010781422
16384	0.038592481
64	0.000076093
128	0.000110698
256	0.000207950
512	0.000384101
1024	0.000753334
2048	0.001417429
4096	0.003683202
8192	0.013016225
16384	0.031795225
64	0.000065473
128	0.000097724
256	0.000178795
512	0.000345428
1024	0.000673965
2048	0.001395389
4096	0.003424086
8192	0.009526286
16384	0.039443057
64	0.000067286
128	0.000096972
256	0.000177393
512	0.000338455
1024	0.000753675
2048	0.001386913
4096	0.003583976
8192	0.011062940
16384	0.039095235
64	0.000068499
128	0.000105017
256	0.000193443
512	0.000360526
1024	0.000701216
2048	0.001430455
4096	0.003254938
8192	0.010475458
16384	0.038250149
64	0.000118582
128	0.000162265
256	0.000284234
512	0.000333396
1024	0.000672913
2048	0.001374870
4096	0.004145489
8192	0.011127011
16384	0.027882193
