bline	128	0.000018389
naive	128	0.000015150
double	128	0.001325312
single	128	0.000241899
4	128	0.000103019
8	128	0.000106340
bline	128	0.000011329
naive	128	0.000011020
double	128	0.000114779
single	128	0.000180559
4	128	0.000085939
8	128	0.000081560
bline	128	0.000014570
naive	128	0.000015030
double	128	0.000125479
single	128	0.000164009
4	128	0.000081500
8	128	0.000079689
bline	128	0.000014860
naive	128	0.000014490
double	128	0.000103210
single	128	0.000161069
4	128	0.000093629
8	128	0.000078419
bline	128	0.000014700
naive	128	0.000015180
double	128	0.000102419
single	128	0.000165289
4	128	0.000078980
8	128	0.000079030
bline	256	0.000041850
naive	256	0.000041490
double	256	0.000171450
single	256	0.000290959
4	256	0.000123409
8	256	0.000091609
bline	256	0.000041280
naive	256	0.000041509
double	256	0.000172489
single	256	0.000283288
4	256	0.000128220
8	256	0.000092740
bline	256	0.000041770
naive	256	0.000041290
double	256	0.000160909
single	256	0.000281208
4	256	0.000126789
8	256	0.000097049
bline	256	0.000041440
naive	256	0.000041179
double	256	0.000184209
single	256	0.000302739
4	256	0.000130849
8	256	0.000109239
bline	256	0.000042120
naive	256	0.000041629
double	256	0.000172069
single	256	0.000304268
4	256	0.000130029
8	256	0.000099220
bline	512	0.000176339
naive	512	0.000174259
double	512	0.000329008
single	512	0.000540178
4	512	0.000229919
8	512	0.000247129
bline	512	0.000173579
naive	512	0.000174339
double	512	0.000337558
single	512	0.000545637
4	512	0.000242578
8	512	0.000161729
bline	512	0.000178479
naive	512	0.000173869
double	512	0.000299239
single	512	0.000541397
4	512	0.000215319
8	512	0.000152879
bline	512	0.000173479
naive	512	0.000173289
double	512	0.000314278
single	512	0.000533577
4	512	0.000201529
8	512	0.000145709
bline	512	0.000176339
naive	512	0.000173490
double	512	0.000282468
single	512	0.000510598
4	512	0.000205509
8	512	0.000143139
bline	1024	0.000719016
naive	1024	0.000716727
double	1024	0.000542526
single	1024	0.000954855
4	1024	0.000362898
8	1024	0.000287248
bline	1024	0.000718516
naive	1024	0.000727736
double	1024	0.000527548
single	1024	0.000948335
4	1024	0.000370958
8	1024	0.000285099
bline	1024	0.000716576
naive	1024	0.000716216
double	1024	0.000518938
single	1024	0.000958625
4	1024	0.000367348
8	1024	0.000268308
bline	1024	0.000720366
naive	1024	0.000719336
double	1024	0.000521667
single	1024	0.000958224
4	1024	0.000359787
8	1024	0.000276539
bline	1024	0.000719466
naive	1024	0.000720906
double	1024	0.000514348
single	1024	0.000947115
4	1024	0.000359268
8	1024	0.000266159
bline	2048	0.003999189
naive	2048	0.003587390
double	2048	0.001030264
single	2048	0.001945250
4	2048	0.000741976
8	2048	0.000635116
bline	2048	0.003646050
naive	2048	0.003629640
double	2048	0.001024814
single	2048	0.001879170
4	2048	0.000786685
8	2048	0.000654996
bline	2048	0.003938059
naive	2048	0.003823510
double	2048	0.001784740
single	2048	0.001924630
4	2048	0.000794876
8	2048	0.000652657
bline	2048	0.003768799
naive	2048	0.003718680
double	2048	0.001034474
single	2048	0.001877510
4	2048	0.000755135
8	2048	0.000667846
bline	2048	0.003769430
naive	2048	0.003761959
double	2048	0.001040024
single	2048	0.001900700
4	2048	0.000778506
8	2048	0.000624057
bline	4096	0.014174703
naive	4096	0.014185303
double	4096	0.002767214
single	4096	0.004014058
4	4096	0.002422277
8	4096	0.002191628
bline	4096	0.013480947
naive	4096	0.013475437
double	4096	0.002640686
single	4096	0.004346256
4	4096	0.002561576
8	4096	0.002499706
bline	4096	0.013605116
naive	4096	0.013878355
double	4096	0.003475641
single	4096	0.003996928
4	4096	0.002557206
8	4096	0.002245788
bline	4096	0.013883914
naive	4096	0.013806735
double	4096	0.002439467
single	4096	0.004125288
4	4096	0.002358277
8	4096	0.002618286
bline	4096	0.014032874
naive	4096	0.014385672
double	4096	0.002715356
single	4096	0.004596265
4	4096	0.002438877
8	4096	0.002264048
bline	8192	0.052302325
naive	8192	0.052807263
double	8192	0.023959169
single	8192	0.025171073
4	8192	0.026287707
8	8192	0.026481616
bline	8192	0.052319275
naive	8192	0.052974092
double	8192	0.023154644
single	8192	0.026435086
4	8192	0.023474152
8	8192	0.022687006
bline	8192	0.052675823
naive	8192	0.053245591
double	8192	0.024643917
single	8192	0.023259604
4	8192	0.022707256
8	8192	0.023623162
bline	8192	0.052715453
naive	8192	0.052852763
double	8192	0.025831850
single	8192	0.027557261
4	8192	0.024623856
8	8192	0.024830495
bline	8192	0.053001912
naive	8192	0.052967222
double	8192	0.025061074
single	8192	0.025495192
4	8192	0.026246446
8	8192	0.025107953
bline	16384	0.208838294
naive	16384	0.209361321
double	16384	0.092035408
single	16384	0.091531713
4	16384	0.089474633
8	16384	0.086576889
bline	16384	0.205794000
naive	16384	0.205033624
double	16384	0.083892674
single	16384	0.084422340
4	16384	0.086095512
8	16384	0.084266671
bline	16384	0.206585176
naive	16384	0.209231141
double	16384	0.081504146
single	16384	0.086291080
4	16384	0.086159211
8	16384	0.089138035
bline	16384	0.206499406
naive	16384	0.203244364
double	16384	0.080982749
single	16384	0.087727993
4	16384	0.088850766
8	16384	0.091194903
bline	16384	0.203796260
naive	16384	0.211269340
double	16384	0.101591976
single	16384	0.085749743
4	16384	0.091910760
8	16384	0.091169294
bline	32768	0.848586399
naive	32768	0.836115237
double	32768	0.283582495
single	32768	0.315379112
4	32768	0.303308458
8	32768	0.313662160
bline	32768	0.809384339
naive	32768	0.815748654
double	32768	0.298143294
single	32768	0.292291306
4	32768	0.297950874
8	32768	0.300845778
bline	32768	0.825786684
naive	32768	0.835596601
