N;time [s];method
2048;0.00271305;trisolv_baseline
2048;0.00188881;trisolv_blas
2048;0.0465399;trisolv_mpi_isend
2048;2.97011;trisolv_mpi_onesided
2048;0.0602354;trisolv_mpi_gao
2048;3.36922;trisolv_mpi_onesided_openmp
2048;2.72504;trisolv_mpi_isend_openmp
2048;0.0033906;trisolv_baseline
2048;0.000690495;trisolv_blas
2048;0.0146356;trisolv_mpi_isend
2048;1.1791;trisolv_mpi_onesided
2048;0.0401655;trisolv_mpi_gao
2048;3.66523;trisolv_mpi_onesided_openmp
2048;2.69198;trisolv_mpi_isend_openmp
2048;0.00268974;trisolv_baseline
2048;0.000688541;trisolv_blas
2048;0.0102715;trisolv_mpi_isend
2048;0.797617;trisolv_mpi_onesided
2048;0.0601121;trisolv_mpi_gao
2048;4.05582;trisolv_mpi_onesided_openmp
2048;2.70623;trisolv_mpi_isend_openmp
2048;0.00220112;trisolv_baseline
2048;0.000798637;trisolv_blas
2048;0.0263363;trisolv_mpi_isend
2048;1.52806;trisolv_mpi_onesided
2048;0.0300425;trisolv_mpi_gao
2048;3.07603;trisolv_mpi_onesided_openmp
2048;2.70014;trisolv_mpi_isend_openmp
2048;0.00246518;trisolv_baseline
2048;0.000817964;trisolv_blas
2048;0.0303582;trisolv_mpi_isend
2048;0.433265;trisolv_mpi_onesided
2048;0.0400167;trisolv_mpi_gao
2048;3.43024;trisolv_mpi_onesided_openmp
2048;2.83971;trisolv_mpi_isend_openmp
2048;0.0026866;trisolv_baseline
2048;0.000919424;trisolv_blas
2048;0.000916158;trisolv_mpi_isend
2048;0.00516217;trisolv_mpi_onesided
2048;0.00132496;trisolv_mpi_gao
2048;3.01855;trisolv_mpi_onesided_openmp
2048;2.73342;trisolv_mpi_isend_openmp
2048;0.00236298;trisolv_baseline
2048;0.000597912;trisolv_blas
2048;0.000798237;trisolv_mpi_isend
2048;0.00493228;trisolv_mpi_onesided
2048;0.000398798;trisolv_mpi_gao
2048;3.17847;trisolv_mpi_onesided_openmp
2048;2.81597;trisolv_mpi_isend_openmp
2048;0.00256989;trisolv_baseline
2048;0.000649088;trisolv_blas
2048;0.00182551;trisolv_mpi_isend
2048;0.0086793;trisolv_mpi_onesided
2048;0.000503835;trisolv_mpi_gao
2048;2.89707;trisolv_mpi_onesided_openmp
2048;4.10598;trisolv_mpi_isend_openmp
2048;0.00261613;trisolv_baseline
2048;0.0012039;trisolv_blas
2048;0.016423;trisolv_mpi_isend
2048;1.16264;trisolv_mpi_onesided
2048;0.020301;trisolv_mpi_gao
2048;3.26938;trisolv_mpi_onesided_openmp
2048;2.72716;trisolv_mpi_isend_openmp
2048;0.00228481;trisolv_baseline
2048;0.00103248;trisolv_blas
2048;0.0151062;trisolv_mpi_isend
2048;1.60163;trisolv_mpi_onesided
2048;0.0801299;trisolv_mpi_gao
2048;4.06225;trisolv_mpi_onesided_openmp
2048;3.36835;trisolv_mpi_isend_openmp
2048;0.002255;trisolv_baseline
2048;0.0005605;trisolv_blas
2048;0.0356821;trisolv_mpi_isend
2048;0.224087;trisolv_mpi_onesided
2048;0.000438061;trisolv_mpi_gao
2048;3.67429;trisolv_mpi_onesided_openmp
2048;2.74197;trisolv_mpi_isend_openmp
2048;0.00241569;trisolv_baseline
2048;0.000691927;trisolv_blas
2048;0.000832611;trisolv_mpi_isend
2048;0.00509079;trisolv_mpi_onesided
2048;0.000402123;trisolv_mpi_gao
2048;3.08916;trisolv_mpi_onesided_openmp
2048;2.72286;trisolv_mpi_isend_openmp
2048;0.00236252;trisolv_baseline
2048;0.000715502;trisolv_blas
2048;0.000812063;trisolv_mpi_isend
2048;0.00484977;trisolv_mpi_onesided
2048;0.000395001;trisolv_mpi_gao
2048;3.03779;trisolv_mpi_onesided_openmp
2048;2.71534;trisolv_mpi_isend_openmp
2048;0.00245648;trisolv_baseline
2048;0.000752852;trisolv_blas
2048;0.00100622;trisolv_mpi_isend
2048;0.00663042;trisolv_mpi_onesided
2048;0.000426109;trisolv_mpi_gao
2048;2.80207;trisolv_mpi_onesided_openmp
2048;2.74034;trisolv_mpi_isend_openmp
